nombre	precio	categoria	disponible	descripcion	imagen_url
Tulipán Edición Limitada	$30,625	Especiales	Sí	Tulipán de edición limitada cuidadosamente envuelto en papel dorado con tarjeta personalizable y color exclusivo. Un detalle refinado y sofisticado que transmite ternura con un toque de distinción para sorprender a mamá en su día.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_32.webp
Trío Romántico Materno	$39,375	Especiales	Sí	Compacto bouquet con tres rosas rojas rodeadas de gypsophila y un suave moño rojo, ideal para entregas íntimas y emotivas. Una declaración clásica de amor que conserva la elegancia en cada pétalo y conquista en cualquier ocasión.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_33.webp
Bouquet Encanto Materno	$63,000	Especiales	Sí	Encantador ramo con rosas rojas y delicadas margaritas blancas envuelto en papel artesanal con un romántico moño rojo. Una expresión sencilla y elegante que lleva un mensaje de cariño y frescura directo al corazón de mamá.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_31.webp
Trío de Ternura	$63,000	Rosas	Sí	Ramo delicado con 3 rosas y variedad de follajes decorativos. Detalle sencillo pero significativo que expresa cariño sincero con elegancia natural minimalista siempre encantadora.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_8.webp
Dúo Floral	$70,000	Rosas	Sí	Ramo armonioso con 5 rosas, dos astromelias, follaje y decoración. Combina romance con delicadeza en presentación equilibrada que transmite sentimientos sinceros y auténticos siempre.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_10.webp
Dulce Distinción	$78,750	Especiales	Sí	Arreglo romántico con 6 rosas, follaje, 3 chocolates Ferrero y decoración. La combinación perfecta entre belleza natural y sabor exquisito que conquista corazón y paladar simultáneamente.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_11.webp
Plato Frutal Corazón Feliz	$85,000	Especiales	Sí	Bandeja gourmet de frutas frescas como kiwi, mango y manzana, coronada con un vistoso globo en forma de corazón y mariposa dorada. Un obsequio saludable y encantador que endulza cualquier cumpleaños o celebración.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_47.png
Quinteto Clásico	$85,312	Rosas	Sí	Bouquet tradicional con 5 rosas, follaje y decoración elegante. Perfecto para gestos espontáneos que transmiten amor puro sin excesos pero con máximo significado emocional profundo.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_9.webp
Bouquet Beige Elegancia	$87,500	Especiales	Sí	Ramo de rosas rojas con gypsophila envuelto en papel beige con moño negro, ideal para una ocasión especial con un toque sobrio y elegante. Un clásico atemporal que conjuga sofisticación y romance para sorprender a mamá con estilo refinado.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_39.webp
Girasoles y Pasión	$91,875	Girasoles	Sí	Bouquet radiante con 3 girasoles, rosas rojas, gypsophila y solidago sobre papel negro elegante. Contraste perfecto entre alegría del sol y pasión del amor en presentación memorable.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_19.webp
Sol Romántico	$97,125	Girasoles	Sí	Bouquet compacto con 2 girasoles, rosas rojas y gypsophila sobre papel negro con base dorada. Presentación elegante y moderna que une luz solar con pasión romántica en perfecta armonía.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_23.webp
Pasión Gourmet Premium	$100,625	Especiales	Sí	Bouquet especial con 12 rosas, follaje, 4 chocolates Ferrero y decoración elegante. Transmite amor refinado con toque dulce que hace la diferencia en momentos especiales.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_12.webp
Ternura Rosada	$105,000	Gerberas	Sí	Delicado ramo con gerberas rosadas, claveles, gypsophila y eucalipto envuelto en papel blanco con moño rosa. Expresa ternura y cariño sincero con suavidad femenina inigualable.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_20.webp
Bouquet Noir Pasión	$135,000	Especiales	Sí	Ramo de rosas rojas con abundante gypsophila envuelto en papel negro, una combinación moderna y dramática llena de personalidad. Un regalo audaz y refinado para esa madre con estilo único e inolvidable que se merece lo mejor.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_40.webp
Cofre de Amor Dorado	$139,500	Especiales	Sí	Sofisticada caja negra con rosas rojas, gypsophila y un cofre dorado con bombones Ferrero Rocher en la parte superior. La unión perfecta entre el romanticismo de las flores y la dulzura del chocolate para conquistar el corazón de mamá.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_34.webp
Corazón Rojo Mamá	$140,000	Especiales	Sí	Caja en forma de corazón con rosas rojas perfectamente alineadas y un moño rojo en satín que corona la pieza. La declaración más clásica y romántica para celebrar a la mujer que llena tu corazón con amor incondicional cada día.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_38.webp
Primavera Completa	$141,750	Especiales	Sí	Arreglo variado con 8 rosas, 3 gerberas, 4 crisantemos, margaritas y follajes. Jardín diverso en presentación que celebra vida, alegría y belleza natural en máxima expresión.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_5.webp
Romance Rosado	$150,938	Especiales	Sí	Bouquet romántico con lirios rosados, rosas y astromelias en papel coreano rosado. Combinación elegante que evoca amor suave y delicado en presentación digna de ocasiones especiales.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_21.webp
Arcoíris Natural	$150,938	Especiales	Sí	Bouquet encantador con 6 rosas de colores, 1 lirio, 6 claveles y follaje decorativo. Transmite alegría multicolor y buenos deseos en armonía perfecta que conquista corazones siempre.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_6.webp
Caja Pasión Eterna	$155,000	Especiales	Sí	Caja cuadrada negra con una abundante composición de rosas rojas, gypsophila y eucalipto fresco rematada con un moño rojo en satín. Un arreglo imponente que transforma cualquier espacio en un homenaje lleno de elegancia para mamá.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_35.webp
Caja Cumpleaños Dulce Sorpresa	$156,250	Especiales	Sí	Caja sorpresa decorada en tonos rosados con globo metalizado de feliz cumpleaños, frutas frescas, chocolates y dulces finos. Un detalle completo y festivo, perfecto para alegrar el día de esa persona tan especial.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_45.png
Corazón de Peluche	$157,500	Especiales	Sí	Ramo en forma de corazón con rosas rojas rodeadas de margaritas blancas y acompañado de tierno oso de peluche. Mariposas decorativas añaden un toque mágico a este detalle romántico inolvidable.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_24.webp
Jardín Encantado	$164,062	Especiales	Sí	Arreglo exuberante con lirios rosados, gerberas, rosas blancas, astromelias y gypsophila en base decorativa. Una obra floral vibrante que llena cualquier espacio de color, fragancia y alegría.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_26.webp
Sol y Pasión	$169,500	Especiales	Sí	Espectacular caja redonda negra que combina la alegría de los girasoles con el romanticismo de las rosas rojas, finalizada con un gran moño en satín. Un regalo vibrante que celebra la luz y calidez que mamá trae a la vida cada día.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_36.webp
Sol Imperial	$177,188	Girasoles	Sí	Arreglo majestuoso con 4 girasoles, 20 rosas, 5 baritas decorativas, papel coreano y moño satinado. Fusiona luz solar con elegancia romántica en presentación que ilumina corazones eternamente.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_2.webp
Rosa Eterna Cúpula	$180,000	Especiales	Sí	Rosa Inmortalizada en intenso fucsia bajo sofisticada cúpula de cristal sobre base oscura, una declaración de amor que desafía el tiempo. Detalle exclusivo que conserva la frescura natural de la flor por años para celebrar el amor eterno hacia mamá.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_30_1.png
Corazón Rojo Eterno	$180,000	Rosas	Sí	Caja en forma de corazón con aproximadamente 24 rosas rojas de tallo corto, acabado negro y lazo rojo. El símbolo definitivo del amor apasionado en presentación elegante que perdura en la memoria.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_28.webp
Cajón Festivo Frutas y Flores	$181,250	Especiales	Sí	Cajón de madera rebosante de frutas frescas, rosas rojas, jugo natural y un alegre globo de feliz cumpleaños. Una sorpresa abundante y vistosa que combina sabor y romance para celebrar a lo grande.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_46.png
